item_id,contract_id,boq_reference,boq_section,line_number,material_id,description,unit_of_measure,quantity,unit_rate,amount,qty_executed,executed_pct,milestone_flag,milestone_description,item_status,variation_ref,retention_applicable,notes,created_date
CTR-2023-000592-BOQ-0245,CTR-2023-000592,3.6.1,Painting & Coatings,1,MAT-00000375,Dark Mr clearly take kind quite response.,MT,202,44.83,9055.66,67,33.2,False,,ACTIVE,,True,,2023-05-27
CTR-2023-000592-BOQ-0246,CTR-2023-000592,3.2.2,Painting & Coatings,2,MAT-00000602,Before member speak law message lead around.,MONTH,357,416528.01,148700499.57,234,65.5,False,,REVISED,,True,,2019-12-14
CTR-2022-000689-BOQ-0247,CTR-2022-000689,2.5.1,Electrical Works,1,MAT-00000245,Official and general as yes.,BOX,120,396.74,47608.8,88,73.3,True,Pull final against effort able.,ACTIVE,,True,,2024-06-16
CTR-2022-000689-BOQ-0248,CTR-2022-000689,2.9.2,Electrical Works,2,MAT-00000651,Worry line expert conference.,NOS,711,319070.94,226859438.34,177,24.9,False,,ACTIVE,,True,,2019-08-08
CTR-2022-000689-BOQ-0249,CTR-2022-000689,2.6.3,Electrical Works,3,MAT-00000887,She within position inside.,NOS,975,694.72,677352.0,139,14.3,False,,ACTIVE,,True,,2024-07-07
CTR-2021-000426-BOQ-0250,CTR-2021-000426,8.2.1,Piping,1,MAT-00000172,Large true help bag who themselves.,LTR,579,3359.67,1945248.93,225,38.9,False,,ACTIVE,,True,,2024-07-21
CTR-2021-000426-BOQ-0251,CTR-2021-000426,8.9.2,Piping,2,MAT-00000563,President girl condition Mr.,MT,116,36.76,4264.16,34,29.3,False,,REVISED,,False,Camera without strong series without leg rest.,2023-12-13
CTR-2021-000426-BOQ-0252,CTR-2021-000426,8.4.3,Piping,3,MAT-00000560,Mother statement easy get every visit.,JOINT,436,492.72,214825.92,424,97.2,False,,ACTIVE,,True,,2019-12-23
CTR-2021-000426-BOQ-0253,CTR-2021-000426,8.2.4,Piping,4,MAT-00000450,Allow produce past view.,RM,795,1729.95,1375310.25,214,26.9,False,,ACTIVE,,False,,2020-11-10
CTR-2021-000426-BOQ-0254,CTR-2021-000426,8.3.5,Piping,5,MAT-00000631,Drive attack order.,DAY,804,218345.78,175550007.12,211,26.2,False,,ACTIVE,,True,,2022-04-13
CTR-2021-000426-BOQ-0255,CTR-2021-000426,8.10.6,Piping,6,MAT-00000297,Our reflect any scientist I doctor describe.,KG,274,2304.51,631435.74,263,96.0,False,,ACTIVE,VO-049,False,,2022-02-09
CTR-2021-000426-BOQ-0256,CTR-2021-000426,8.3.7,Piping,7,MAT-00000888,Five our pull fly few century produce.,MT,719,2415.27,1736579.13,255,35.5,True,Cell year doctor.,ACTIVE,,False,,2020-08-05
CTR-2021-000426-BOQ-0257,CTR-2021-000426,8.5.8,Piping,8,MAT-00000592,Personal interview many win.,LTR,643,81.59,52462.37,462,71.9,True,Including every news option.,REVISED,,True,,2023-02-20
CTR-2021-000426-BOQ-0258,CTR-2021-000426,8.8.9,Piping,9,MAT-00000466,Skill five indicate chance heavy senior.,MT,336,1312.81,441104.16,47,14.0,False,,ACTIVE,,True,Drive different tax certain leg arm include.,2024-12-29
CTR-2021-000426-BOQ-0259,CTR-2021-000426,8.4.10,Piping,10,MAT-00000408,Newspaper care drug data position two.,NOS,992,69576.64,69020026.88,216,21.8,False,,ACTIVE,,True,,2024-06-10
CTR-2021-000426-BOQ-0260,CTR-2021-000426,8.6.11,Piping,11,MAT-00000808,Always authority source onto provide describe decade trade.,RM,916,223.84,205037.44,49,5.3,True,Begin right couple environmental purpose.,ACTIVE,,True,,2020-10-09
CTR-2021-000426-BOQ-0261,CTR-2021-000426,8.8.12,Piping,12,MAT-00000452,Whatever address view while bring.,NOS,1,75984.84,75984.84,1,100.0,False,,ACTIVE,,True,,2022-01-27
CTR-2020-000096-BOQ-0262,CTR-2020-000096,5.6.1,Electrical Works,1,MAT-00000085,Herself move grow end mention.,DRUM,681,1976.31,1345867.11,169,24.8,True,Trial receive region however dream focus.,ACTIVE,,False,,2020-01-09
CTR-2020-000096-BOQ-0263,CTR-2020-000096,5.2.2,Electrical Works,2,MAT-00000721,Including none determine certainly end various.,SET,2,10517.03,21034.06,0,0.0,True,Letter sort reveal seven floor data.,ACTIVE,,True,,2020-05-08
CTR-2020-000096-BOQ-0264,CTR-2020-000096,5.7.3,Electrical Works,3,MAT-00000881,Result far cultural discover now early nearly want.,JOINT,711,735.54,522968.94,72,10.1,False,,ACTIVE,,True,,2022-05-10
CTR-2020-000096-BOQ-0265,CTR-2020-000096,5.7.4,Electrical Works,4,MAT-00000141,Either start whom politics make collection.,MT,793,43.89,34804.77,136,17.2,False,,ACTIVE,VO-037,True,,2023-12-08
CTR-2020-000096-BOQ-0266,CTR-2020-000096,5.4.5,Electrical Works,5,MAT-00000360,College result major true my politics.,KG,644,3496.97,2252048.68,421,65.4,False,,ACTIVE,,False,,2020-05-19
CTR-2020-000096-BOQ-0267,CTR-2020-000096,5.7.6,Electrical Works,6,MAT-00000604,Model stuff avoid stand.,KG,360,3597.62,1295143.2,161,44.7,False,,ACTIVE,,True,,2022-03-13
CTR-2020-000096-BOQ-0268,CTR-2020-000096,5.1.7,Electrical Works,7,MAT-00000798,Share include successful.,HR,869,3293.27,2861851.63,308,35.4,False,,ACTIVE,,True,,2021-09-07
CTR-2020-000096-BOQ-0269,CTR-2020-000096,5.7.8,Electrical Works,8,MAT-00000507,Attack character despite lay art.,NOS,116,9386.78,1088866.48,81,69.8,False,,ACTIVE,,False,,2020-06-24
CTR-2020-000096-BOQ-0270,CTR-2020-000096,5.10.9,Electrical Works,9,MAT-00000397,Tree process administration mother in admit reveal movie.,MT,431,2320.87,1000294.97,349,81.0,False,,ACTIVE,,True,,2019-02-26
CTR-2020-000096-BOQ-0271,CTR-2020-000096,5.4.10,Electrical Works,10,MAT-00000269,Admit spend purpose south travel.,NOS,41,38174.77,1565165.57,25,61.0,False,,ACTIVE,,True,,2019-12-04
CTR-2020-000096-BOQ-0272,CTR-2020-000096,5.9.11,Electrical Works,11,MAT-00000656,Money spring environment however health image north wrong.,MT,551,2092.73,1153094.23,284,51.5,True,Truth modern drive.,ACTIVE,,False,,2022-08-31
CTR-2024-000401-BOQ-0273,CTR-2024-000401,11.2.1,Civil Works,1,MAT-00000698,Behavior here need.,JOINT,318,1324.9,421318.2,122,38.4,True,Feel stock ball yard.,ACTIVE,,True,,2022-06-20
CTR-2024-000401-BOQ-0274,CTR-2024-000401,11.3.2,Civil Works,2,MAT-00000683,Pm reflect bar suddenly.,JOINT,123,962.64,118404.72,17,13.8,False,,ACTIVE,,True,,2021-11-27
CTR-2024-000401-BOQ-0275,CTR-2024-000401,11.6.3,Civil Works,3,MAT-00000171,Not teach believe month amount deep.,NOS,130,228.05,29646.5,68,52.3,False,,ACTIVE,,True,,2024-11-15
CTR-2024-000401-BOQ-0276,CTR-2024-000401,11.5.4,Civil Works,4,MAT-00000066,Conference sure administration.,MT,730,2301.17,1679854.1,642,87.9,True,Little another avoid understand tonight nor.,ACTIVE,,True,,2023-02-15
CTR-2024-000401-BOQ-0277,CTR-2024-000401,11.5.5,Civil Works,5,MAT-00000162,Onto sell require huge baby.,NOS,792,25107.72,19885314.24,587,74.1,False,,ACTIVE,,True,,2019-02-20
CTR-2024-000401-BOQ-0278,CTR-2024-000401,11.1.6,Civil Works,6,MAT-00000251,Nor note support quality.,MT,484,1285.61,622235.24,471,97.3,False,,ON_HOLD,,True,,2023-09-14
CTR-2024-000401-BOQ-0279,CTR-2024-000401,11.6.7,Civil Works,7,MAT-00000230,Forward sense cause write right may window.,BAG,255,491.11,125233.05,163,63.9,False,,ACTIVE,,True,,2021-01-04
CTR-2024-000401-BOQ-0280,CTR-2024-000401,11.9.8,Civil Works,8,MAT-00000229,Best discussion away.,HR,48,5865.27,281532.96,4,8.3,False,,DELETED,,True,Shoulder western however similar ahead event yeah make.,2024-02-14
CTR-2024-000401-BOQ-0281,CTR-2024-000401,11.6.9,Civil Works,9,MAT-00000009,Need heart control one herself sign.,BAG,206,324.23,66791.38,200,97.1,False,,ACTIVE,,True,,2021-03-11
CTR-2024-000401-BOQ-0282,CTR-2024-000401,11.9.10,Civil Works,10,MAT-00000751,Science first blood accept.,NOS,779,37214.03,28989729.37,154,19.8,True,Something require bank child.,ACTIVE,,True,,2019-02-09
CTR-2024-000974-BOQ-0283,CTR-2024-000974,11.5.1,General Requirements,1,MAT-00000386,Know seven bill beautiful issue.,RM,107,1878.71,201021.97,30,28.0,False,,ON_HOLD,,True,,2019-06-29
CTR-2024-000974-BOQ-0284,CTR-2024-000974,11.4.2,General Requirements,2,MAT-00000944,Never impact ago government behavior our foot.,MONTH,919,551.89,507186.91,422,45.9,False,,ACTIVE,,True,Activity including single right nice yeah.,2020-06-30
CTR-2024-000974-BOQ-0285,CTR-2024-000974,11.7.3,General Requirements,3,MAT-00000653,Occur college herself catch feeling.,SET,77,35714.61,2750024.97,7,9.1,False,,ON_HOLD,,True,,2023-05-29
CTR-2024-000974-BOQ-0286,CTR-2024-000974,11.6.4,General Requirements,4,MAT-00000718,Result many pattern leader career.,SET,326,39018.6,12720063.6,119,36.5,True,Certainly cold every feel site guess.,ACTIVE,,True,,2020-11-04
CTR-2024-000974-BOQ-0287,CTR-2024-000974,11.8.5,General Requirements,5,MAT-00000461,We forward per.,SET,322,27809.76,8954742.72,274,85.1,False,,REVISED,,True,,2020-01-06
CTR-2024-000974-BOQ-0288,CTR-2024-000974,11.5.6,General Requirements,6,MAT-00000162,Fly water cut fire who.,NOS,847,34534.25,29250509.75,617,72.8,True,Key issue statement prepare organization.,REVISED,,True,,2022-12-28
CTR-2022-000406-BOQ-0289,CTR-2022-000406,11.5.1,General Requirements,1,MAT-00000307,Fact reason make office drug heavy.,NOS,840,353411.41,296865584.4,31,3.7,False,,DELETED,,True,Half usually customer young conference should.,2020-02-22
CTR-2022-000406-BOQ-0290,CTR-2022-000406,11.3.2,General Requirements,2,MAT-00000824,Well left remain.,BBL,125,139.86,17482.5,106,84.8,False,,ACTIVE,,True,,2019-12-11
CTR-2022-000406-BOQ-0291,CTR-2022-000406,11.10.3,General Requirements,3,MAT-00000597,Cause field education child institution help last.,NOS,266,69158.28,18396102.48,38,14.3,True,Something story attorney summer some.,ACTIVE,,True,,2022-09-20
CTR-2022-000406-BOQ-0292,CTR-2022-000406,11.1.4,General Requirements,4,MAT-00000126,Look husband media turn reality myself so growth.,KG,965,2315.06,2234032.9,172,17.8,False,,ACTIVE,,True,,2023-10-14
CTR-2022-000406-BOQ-0293,CTR-2022-000406,11.6.5,General Requirements,5,MAT-00000177,Order trial body eat professor coach partner.,RM,220,1090.41,239890.2,70,31.8,False,,DELETED,VO-040,True,,2024-08-05
CTR-2022-000406-BOQ-0294,CTR-2022-000406,11.9.6,General Requirements,6,MAT-00000422,Worker quality hundred sell whole involve action.,KG,491,706.72,346999.52,143,29.1,False,,ACTIVE,,False,,2019-03-21
CTR-2022-000406-BOQ-0295,CTR-2022-000406,11.6.7,General Requirements,7,MAT-00000392,Develop section newspaper reach determine.,RM,492,35339.33,17386950.36,248,50.4,False,,ACTIVE,,True,Hospital sign open matter general agency.,2021-06-16
CTR-2022-000406-BOQ-0296,CTR-2022-000406,11.5.8,General Requirements,8,MAT-00000031,Far turn beat story.,RM,60,1303.15,78189.0,30,50.0,False,,REVISED,,False,,2021-09-14
CTR-2022-000406-BOQ-0297,CTR-2022-000406,11.9.9,General Requirements,9,MAT-00000273,Lot live just recent five feel special.,BBL,836,75.6,63201.6,754,90.2,True,Give gas six.,ON_HOLD,,False,,2022-12-24
CTR-2020-000958-BOQ-0298,CTR-2020-000958,3.10.1,Concrete Works,1,MAT-00000243,Against gas body son.,SQM,326,239.47,78067.22,183,56.1,False,,ACTIVE,,False,,2021-02-10
CTR-2020-000958-BOQ-0299,CTR-2020-000958,3.8.2,Concrete Works,2,MAT-00000857,Discussion if continue policy it ahead pass.,NOS,556,180015.13,100088412.28,502,90.3,True,Might necessary former interview.,ACTIVE,,True,,2022-09-20
CTR-2020-000958-BOQ-0300,CTR-2020-000958,3.10.3,Concrete Works,3,MAT-00000940,Last involve above Democrat everything.,BOX,207,656.02,135796.14,87,42.0,False,,ON_HOLD,,True,Officer son Mr hand.,2020-08-03
CTR-2020-000958-BOQ-0301,CTR-2020-000958,3.2.4,Concrete Works,4,MAT-00000793,Leader energy television month police.,JOINT,867,679.53,589152.51,373,43.0,False,,ACTIVE,,True,,2022-05-21
CTR-2020-000958-BOQ-0302,CTR-2020-000958,3.3.5,Concrete Works,5,MAT-00000331,Home hotel box goal leader common purpose song.,KG,1000,1233.71,1233710.0,971,97.1,False,,ACTIVE,,True,,2023-01-01
CTR-2020-000958-BOQ-0303,CTR-2020-000958,3.10.6,Concrete Works,6,MAT-00000229,Opportunity public finish draw bring health center home.,HR,835,4004.11,3343431.85,314,37.6,False,,ACTIVE,,True,,2023-05-23
CTR-2020-000958-BOQ-0304,CTR-2020-000958,3.10.7,Concrete Works,7,MAT-00000872,Case himself control player really population yourself never.,NOS,34,1960.94,66671.96,20,58.8,False,,ON_HOLD,,True,,2020-07-30
CTR-2020-000958-BOQ-0305,CTR-2020-000958,3.2.8,Concrete Works,8,MAT-00000340,Eye cost success people tend weight machine.,PKT,244,496.52,121150.88,81,33.2,False,,DELETED,VO-046,True,,2022-10-07
CTR-2020-000958-BOQ-0306,CTR-2020-000958,3.1.9,Concrete Works,9,MAT-00000458,Spring white measure manager range.,NOS,272,44943.54,12224642.88,34,12.5,False,,REVISED,,True,,2023-09-15
CTR-2020-000958-BOQ-0307,CTR-2020-000958,3.3.10,Concrete Works,10,MAT-00000993,Report kitchen cold not somebody determine.,RM,906,199.31,180574.86,902,99.6,False,,ACTIVE,,True,,2021-07-12
CTR-2020-000958-BOQ-0308,CTR-2020-000958,3.8.11,Concrete Works,11,MAT-00000167,Ever Mrs collection.,NOS,76,44376.79,3372636.04,4,5.3,False,,ACTIVE,,True,,2023-03-18
CTR-2020-000958-BOQ-0309,CTR-2020-000958,3.2.12,Concrete Works,12,MAT-00000165,Not significant manager member of environmental myself.,CUM,561,239.13,134151.93,95,16.9,False,,ON_HOLD,,False,,2020-11-06
CTR-2020-000958-BOQ-0310,CTR-2020-000958,3.7.13,Concrete Works,13,MAT-00000622,My series service kid despite interesting.,SQM,161,173.26,27894.86,84,52.2,False,,ACTIVE,,False,,2021-12-22
CTR-2020-000958-BOQ-0311,CTR-2020-000958,3.5.14,Concrete Works,14,MAT-00000677,Fear yourself last give stage.,MONTH,305,376770.07,114914871.35,25,8.2,False,,ACTIVE,,True,Tend bring speech decide scene ready.,2019-12-25
CTR-2023-000302-BOQ-0312,CTR-2023-000302,11.8.1,Civil Works,1,MAT-00000615,Plan coach cause deal deal arrive go exactly.,SQM,205,51.73,10604.65,52,25.4,False,,ACTIVE,VO-008,True,,2024-06-26
CTR-2023-000302-BOQ-0313,CTR-2023-000302,11.5.2,Civil Works,2,MAT-00000917,Collection without fall of weight method too.,JOINT,94,491.39,46190.66,49,52.1,False,,DELETED,,True,,2024-03-19
CTR-2023-000302-BOQ-0314,CTR-2023-000302,11.4.3,Civil Works,3,MAT-00000270,Career seek in arrive.,JOINT,858,700.73,601226.34,63,7.3,False,,ACTIVE,VO-043,True,,2021-07-20
CTR-2023-000302-BOQ-0315,CTR-2023-000302,11.1.4,Civil Works,4,MAT-00000567,Term camera tend economic represent.,SET,861,26379.51,22712758.11,535,62.1,False,,ACTIVE,,True,,2024-05-04
CTR-2023-000302-BOQ-0316,CTR-2023-000302,11.2.5,Civil Works,5,MAT-00000307,Physical heart away some shoulder.,NOS,405,340939.03,138080307.15,365,90.1,True,Seven put majority officer.,ACTIVE,,True,,2020-08-26
CTR-2023-000302-BOQ-0317,CTR-2023-000302,11.8.6,Civil Works,6,MAT-00000124,Middle everything view hard wear force.,NOS,178,72755.69,12950512.82,42,23.6,False,,REVISED,,True,,2023-11-19
CTR-2023-000302-BOQ-0318,CTR-2023-000302,11.3.7,Civil Works,7,MAT-00000207,Than suggest behavior.,MT,855,2212.72,1891875.6,327,38.2,False,,ON_HOLD,VO-025,True,,2022-02-05
CTR-2023-000302-BOQ-0319,CTR-2023-000302,11.8.8,Civil Works,8,MAT-00000533,Play recently sure somebody huge why station.,NOS,940,311847.96,293137082.4,805,85.6,False,,ACTIVE,,True,,2020-02-15
CTR-2023-000302-BOQ-0320,CTR-2023-000302,11.2.9,Civil Works,9,MAT-00000948,Environmental stock front official not magazine gas.,NOS,577,107606.93,62089198.61,292,50.6,False,,DELETED,,True,,2024-04-21
CTR-2023-000302-BOQ-0321,CTR-2023-000302,11.3.10,Civil Works,10,MAT-00000039,Buy tax kid.,SQM,283,90.4,25583.2,205,72.4,True,Animal phone student.,DELETED,,True,,2022-01-05
CTR-2023-000302-BOQ-0322,CTR-2023-000302,11.6.11,Civil Works,11,MAT-00000919,Yeah into yet.,JOINT,21,1988.92,41767.32,9,42.9,False,,REVISED,,True,,2021-07-22
CTR-2023-000302-BOQ-0323,CTR-2023-000302,11.5.12,Civil Works,12,MAT-00000138,Think few themselves theory.,CUM,998,524.63,523580.74,792,79.4,False,,ACTIVE,,True,,2021-05-15
CTR-2023-000302-BOQ-0324,CTR-2023-000302,11.7.13,Civil Works,13,MAT-00000936,Pressure economy head tough.,JOINT,759,1446.95,1098235.05,528,69.6,False,,REVISED,,True,,2024-09-06
CTR-2023-000302-BOQ-0325,CTR-2023-000302,11.3.14,Civil Works,14,MAT-00000414,Pretty region ability live car difficult.,DRUM,800,6935.32,5548256.0,582,72.8,True,Appear personal rise sense.,ACTIVE,,False,,2024-02-13
CTR-2023-000052-BOQ-0326,CTR-2023-000052,12.5.1,Electrical Works,1,MAT-00000204,Act receive stage write institution car.,MT,378,2649.33,1001446.74,258,68.3,False,,ON_HOLD,,True,,2024-01-02
CTR-2023-000052-BOQ-0327,CTR-2023-000052,12.8.2,Electrical Works,2,MAT-00000182,Director become south billion.,JOINT,601,2016.57,1211958.57,352,58.6,False,,DELETED,,True,,2023-05-03
CTR-2023-000052-BOQ-0328,CTR-2023-000052,12.3.3,Electrical Works,3,MAT-00000051,Thing case similar send card year.,BAG,875,423.09,370203.75,219,25.0,False,,ACTIVE,,True,,2019-03-24
CTR-2023-000052-BOQ-0329,CTR-2023-000052,12.1.4,Electrical Works,4,MAT-00000886,Attention none particular clearly.,BAG,486,713.21,346620.06,331,68.1,False,,REVISED,,True,,2022-02-01
CTR-2023-000052-BOQ-0330,CTR-2023-000052,12.7.5,Electrical Works,5,MAT-00000434,Reveal physical character in rather team.,BAG,873,435.91,380549.43,258,29.6,False,,ACTIVE,,True,,2019-01-31
CTR-2023-000052-BOQ-0331,CTR-2023-000052,12.6.6,Electrical Works,6,MAT-00000524,To cause but role.,SET,575,13849.97,7963732.75,289,50.3,False,,ACTIVE,VO-018,True,,2021-12-05
CTR-2023-000052-BOQ-0332,CTR-2023-000052,12.5.7,Electrical Works,7,MAT-00000672,White fire cause everybody base network.,KG,193,382.52,73826.36,61,31.6,False,,REVISED,,True,,2020-07-27
CTR-2023-000052-BOQ-0333,CTR-2023-000052,12.1.8,Electrical Works,8,MAT-00000739,Return expect wait agree suggest then day parent.,NOS,672,42691.83,28688909.76,302,44.9,False,,ACTIVE,,True,,2021-02-16
CTR-2023-000052-BOQ-0334,CTR-2023-000052,12.4.9,Electrical Works,9,MAT-00000352,Security far approach today west.,BOX,703,1394.89,980607.67,487,69.3,False,,ACTIVE,,False,,2021-01-11
CTR-2023-000052-BOQ-0335,CTR-2023-000052,12.2.10,Electrical Works,10,MAT-00000301,History drop point audience thousand activity guess.,KG,483,601.59,290567.97,132,27.3,False,,ACTIVE,,False,,2020-01-01
CTR-2023-000052-BOQ-0336,CTR-2023-000052,12.6.11,Electrical Works,11,MAT-00000228,Car team nothing half raise several.,CUM,229,139.34,31908.86,78,34.1,False,,DELETED,,True,,2020-04-27
CTR-2023-000052-BOQ-0337,CTR-2023-000052,12.1.12,Electrical Works,12,MAT-00000482,Admit attack energy always.,MT,888,242.77,215579.76,594,66.9,False,,ACTIVE,,True,,2023-04-13
CTR-2023-000052-BOQ-0338,CTR-2023-000052,12.5.13,Electrical Works,13,MAT-00000543,Short interest I policy Mrs check base.,SET,424,923.14,391411.36,77,18.2,True,We huge expert.,ACTIVE,,True,,2024-02-18
CTR-2023-000052-BOQ-0339,CTR-2023-000052,12.6.14,Electrical Works,14,MAT-00000147,Force only shake power poor financial join.,BOX,884,215.51,190510.84,797,90.2,True,Memory data space.,ACTIVE,,True,Around beat its law participant.,2024-01-26
CTR-2023-000052-BOQ-0340,CTR-2023-000052,12.4.15,Electrical Works,15,MAT-00000281,Program price compare actually case.,SET,780,56456.93,44036405.4,590,75.6,False,,ACTIVE,,True,,2023-10-25
CTR-2024-000414-BOQ-0341,CTR-2024-000414,7.1.1,Piping,1,MAT-00000005,Clearly well mission.,MT,547,1051.84,575356.48,382,69.8,False,,DELETED,,True,Cold camera sit environmental though.,2019-01-17
CTR-2024-000414-BOQ-0342,CTR-2024-000414,7.4.2,Piping,2,MAT-00000642,Friend investment model.,CUM,232,439.5,101964.0,88,37.9,False,,ACTIVE,,True,Republican office baby lawyer growth.,2019-07-07
CTR-2024-000414-BOQ-0343,CTR-2024-000414,7.5.3,Piping,3,MAT-00000306,Teacher cold church significant thus purpose boy.,KG,467,3048.1,1423462.7,305,65.3,False,,ACTIVE,,True,,2024-06-30
CTR-2024-000414-BOQ-0344,CTR-2024-000414,7.4.4,Piping,4,MAT-00000368,Use tax need trial.,SET,169,58484.93,9883953.17,103,60.9,True,Able teach activity animal hair turn.,ACTIVE,,True,Different eat trouble floor step number.,2024-08-28
CTR-2024-000414-BOQ-0345,CTR-2024-000414,7.2.5,Piping,5,MAT-00000174,Maybe top conference source.,NOS,376,3066.34,1152943.84,19,5.1,False,,ACTIVE,,True,,2019-07-16
CTR-2024-000414-BOQ-0346,CTR-2024-000414,7.2.6,Piping,6,MAT-00000678,West attention let.,RM,670,45266.18,30328340.6,49,7.3,False,,ACTIVE,,True,,2020-09-19
CTR-2024-000414-BOQ-0347,CTR-2024-000414,7.1.7,Piping,7,MAT-00000211,Similar financial beat lead hard.,BOX,309,2003.5,619081.5,51,16.5,False,,ACTIVE,,True,,2020-03-05
CTR-2020-000524-BOQ-0348,CTR-2020-000524,2.2.1,Insulation,1,MAT-00000290,Nor fight performance less option.,SET,804,349337.22,280867124.88,203,25.2,False,,REVISED,,False,,2023-08-06
CTR-2020-000524-BOQ-0349,CTR-2020-000524,2.3.2,Insulation,2,MAT-00000303,Young simply run national somebody character usually.,NOS,41,7681.05,314923.05,13,31.7,False,,ACTIVE,,True,Do get style.,2020-03-28
CTR-2020-000524-BOQ-0350,CTR-2020-000524,2.10.3,Insulation,3,MAT-00000856,Week ability price.,SQM,686,194.51,133433.86,92,13.4,False,,ACTIVE,,False,,2024-02-14
CTR-2020-000524-BOQ-0351,CTR-2020-000524,2.5.4,Insulation,4,MAT-00000304,Billion morning draw man art.,NOS,476,30838.66,14679202.16,416,87.4,False,,ACTIVE,,False,,2020-04-19
CTR-2020-000524-BOQ-0352,CTR-2020-000524,2.1.5,Insulation,5,MAT-00000098,Republican behavior TV today.,BAG,10,409.29,4092.9,10,100.0,False,,ACTIVE,,False,,2020-01-16
CTR-2020-000524-BOQ-0353,CTR-2020-000524,2.6.6,Insulation,6,MAT-00000382,Including time learn security oil measure PM.,BAG,188,140.01,26321.88,102,54.3,False,,ACTIVE,,False,,2020-11-14
CTR-2020-000524-BOQ-0354,CTR-2020-000524,2.3.7,Insulation,7,MAT-00000116,Surface unit hotel story for.,MONTH,713,285719.82,203718231.66,163,22.9,True,Avoid nothing itself who door.,ON_HOLD,,True,,2023-04-05
CTR-2020-000524-BOQ-0355,CTR-2020-000524,2.6.8,Insulation,8,MAT-00000798,Evening avoid dark sister once choice clearly.,HR,627,2145.15,1345009.05,133,21.2,False,,ACTIVE,,True,Finish building group show later leg system.,2022-07-11
CTR-2020-000524-BOQ-0356,CTR-2020-000524,2.9.9,Insulation,9,MAT-00000013,Citizen rather step recent.,NOS,786,663208.61,521281967.46,741,94.3,False,,ON_HOLD,,True,,2020-01-26
CTR-2020-000524-BOQ-0357,CTR-2020-000524,2.4.10,Insulation,10,MAT-00000444,Democrat task chance.,JOINT,494,1821.13,899638.22,346,70.0,False,,ACTIVE,,False,,2019-02-17
CTR-2020-000524-BOQ-0358,CTR-2020-000524,2.3.11,Insulation,11,MAT-00000659,Why how any federal star.,MT,518,1761.49,912451.82,507,97.9,False,,ACTIVE,,True,,2019-07-26
CTR-2020-000524-BOQ-0359,CTR-2020-000524,2.4.12,Insulation,12,MAT-00000520,All identify laugh security.,JOINT,564,252.92,142646.88,412,73.0,False,,ACTIVE,,True,Behind big soldier building article.,2024-08-03
CTR-2019-000458-BOQ-0360,CTR-2019-000458,8.1.1,Earthworks,1,MAT-00000764,Candidate statement head piece popular.,KG,106,2734.8,289888.8,4,3.8,False,,ACTIVE,VO-039,False,,2024-09-13
CTR-2019-000458-BOQ-0361,CTR-2019-000458,8.4.2,Earthworks,2,MAT-00000576,Only true avoid young cup position speak begin.,BAG,671,609.95,409276.45,349,52.0,False,,ACTIVE,,True,,2024-04-21
CTR-2019-000458-BOQ-0362,CTR-2019-000458,8.6.3,Earthworks,3,MAT-00000734,Business walk anything under item right.,BAG,734,167.48,122930.32,99,13.5,False,,ACTIVE,,False,,2022-04-10
CTR-2019-000458-BOQ-0363,CTR-2019-000458,8.9.4,Earthworks,4,MAT-00000561,Ahead raise common Democrat cost evidence third.,NOS,383,1103.96,422816.68,23,6.0,False,,ACTIVE,,False,,2021-11-07
CTR-2019-000458-BOQ-0364,CTR-2019-000458,8.4.5,Earthworks,5,MAT-00000626,Pass pay positive.,BOX,193,731.47,141173.71,100,51.8,False,,REVISED,,True,,2019-07-10
CTR-2019-000458-BOQ-0365,CTR-2019-000458,8.10.6,Earthworks,6,MAT-00000949,Include nearly article evidence case current this.,MT,127,2160.71,274410.17,115,90.6,False,,ACTIVE,,False,Eat yes myself affect him require look.,2019-07-18
CTR-2022-000567-BOQ-0366,CTR-2022-000567,10.9.1,Instrumentation,1,MAT-00000495,General not focus establish ago others ahead.,SET,800,2155.63,1724504.0,181,22.6,False,,ACTIVE,,True,,2022-08-11
CTR-2022-000567-BOQ-0367,CTR-2022-000567,10.7.2,Instrumentation,2,MAT-00000517,Around yard morning short yourself.,KG,429,6676.4,2864175.6,354,82.5,False,,ACTIVE,,False,,2020-06-30
CTR-2022-000567-BOQ-0368,CTR-2022-000567,10.7.3,Instrumentation,3,MAT-00000142,Beyond prevent entire staff.,MT,617,1215.09,749710.53,524,84.9,False,,ACTIVE,,False,,2021-06-09
CTR-2022-000567-BOQ-0369,CTR-2022-000567,10.4.4,Instrumentation,4,MAT-00000206,Shake way offer work.,SET,640,437876.68,280241075.2,353,55.2,False,,ACTIVE,,False,,2022-08-13
CTR-2022-000567-BOQ-0370,CTR-2022-000567,10.2.5,Instrumentation,5,MAT-00000728,Great stuff suddenly compare or south.,MONTH,780,348128.24,271540027.2,491,62.9,False,,ON_HOLD,,True,,2024-12-26
CTR-2022-000567-BOQ-0371,CTR-2022-000567,10.7.6,Instrumentation,6,MAT-00000293,Way student special wife my compare also.,SET,828,27446.63,22725809.64,109,13.2,True,Trial agreement red way nor.,ACTIVE,,True,,2020-10-21
CTR-2022-000567-BOQ-0372,CTR-2022-000567,10.5.7,Instrumentation,7,MAT-00000294,Discussion despite money a.,NOS,150,2309.21,346381.5,75,50.0,False,,ACTIVE,,True,,2021-07-07
